years,Age group,Cause of death (ICD-10),VALUE
2006,Under 1 year,Malignant neoplasms [C00-C97],8
2007,Under 1 year,Malignant neoplasms [C00-C97],11
2008,Under 1 year,Malignant neoplasms [C00-C97],8
2009,Under 1 year,Malignant neoplasms [C00-C97],10
2010,Under 1 year,Malignant neoplasms [C00-C97],8
2011,Under 1 year,Malignant neoplasms [C00-C97],8
2012,Under 1 year,Malignant neoplasms [C00-C97],15
2013,Under 1 year,Malignant neoplasms [C00-C97],8
2014,Under 1 year,Malignant neoplasms [C00-C97],8
2015,Under 1 year,Malignant neoplasms [C00-C97],7
2016,Under 1 year,Malignant neoplasms [C00-C97],4
2017,Under 1 year,Malignant neoplasms [C00-C97],6
2018,Under 1 year,Malignant neoplasms [C00-C97],5
2000,Under 1 year,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2001,Under 1 year,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2002,Under 1 year,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2003,Under 1 year,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2004,Under 1 year,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2005,Under 1 year,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2006,Under 1 year,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2007,Under 1 year,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2008,Under 1 year,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2009,Under 1 year,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2010,Under 1 year,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2011,Under 1 year,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1
2012,Under 1 year,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1
2013,Under 1 year,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2014,Under 1 year,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1
2015,Under 1 year,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2016,Under 1 year,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2017,Under 1 year,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2018,Under 1 year,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2000,Under 1 year,Malignant neoplasms of digestive organs [C15-C26],0
2001,Under 1 year,Malignant neoplasms of digestive organs [C15-C26],0
2002,Under 1 year,Malignant neoplasms of digestive organs [C15-C26],0
2003,Under 1 year,Malignant neoplasms of digestive organs [C15-C26],2
2004,Under 1 year,Malignant neoplasms of digestive organs [C15-C26],0
2005,Under 1 year,Malignant neoplasms of digestive organs [C15-C26],0
2006,Under 1 year,Malignant neoplasms of digestive organs [C15-C26],0
2007,Under 1 year,Malignant neoplasms of digestive organs [C15-C26],1
2008,Under 1 year,Malignant neoplasms of digestive organs [C15-C26],0
2009,Under 1 year,Malignant neoplasms of digestive organs [C15-C26],1
2010,Under 1 year,Malignant neoplasms of digestive organs [C15-C26],0
2011,Under 1 year,Malignant neoplasms of digestive organs [C15-C26],0
2012,Under 1 year,Malignant neoplasms of digestive organs [C15-C26],1
2013,Under 1 year,Malignant neoplasms of digestive organs [C15-C26],1
2014,Under 1 year,Malignant neoplasms of digestive organs [C15-C26],1
2015,Under 1 year,Malignant neoplasms of digestive organs [C15-C26],1
2016,Under 1 year,Malignant neoplasms of digestive organs [C15-C26],1
2017,Under 1 year,Malignant neoplasms of digestive organs [C15-C26],0
2018,Under 1 year,Malignant neoplasms of digestive organs [C15-C26],0
2000,Under 1 year,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2001,Under 1 year,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2002,Under 1 year,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2003,Under 1 year,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2004,Under 1 year,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2005,Under 1 year,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2006,Under 1 year,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2007,Under 1 year,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2008,Under 1 year,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1
2009,Under 1 year,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2010,Under 1 year,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2011,Under 1 year,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2012,Under 1 year,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2013,Under 1 year,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2014,Under 1 year,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2015,Under 1 year,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2016,Under 1 year,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2017,Under 1 year,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2018,Under 1 year,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2000,Under 1 year,Malignant neoplasms of bone and articular cartilage [C40-C41],0
2001,Under 1 year,Malignant neoplasms of bone and articular cartilage [C40-C41],0
2002,Under 1 year,Malignant neoplasms of bone and articular cartilage [C40-C41],0
2003,Under 1 year,Malignant neoplasms of bone and articular cartilage [C40-C41],0
2004,Under 1 year,Malignant neoplasms of bone and articular cartilage [C40-C41],0
2005,Under 1 year,Malignant neoplasms of bone and articular cartilage [C40-C41],0
2006,Under 1 year,Malignant neoplasms of bone and articular cartilage [C40-C41],0
2007,Under 1 year,Malignant neoplasms of bone and articular cartilage [C40-C41],0
2008,Under 1 year,Malignant neoplasms of bone and articular cartilage [C40-C41],0
2009,Under 1 year,Malignant neoplasms of bone and articular cartilage [C40-C41],0
2010,Under 1 year,Malignant neoplasms of bone and articular cartilage [C40-C41],0
2011,Under 1 year,Malignant neoplasms of bone and articular cartilage [C40-C41],0
2012,Under 1 year,Malignant neoplasms of bone and articular cartilage [C40-C41],0
2013,Under 1 year,Malignant neoplasms of bone and articular cartilage [C40-C41],0
2014,Under 1 year,Malignant neoplasms of bone and articular cartilage [C40-C41],0
2015,Under 1 year,Malignant neoplasms of bone and articular cartilage [C40-C41],0
2016,Under 1 year,Malignant neoplasms of bone and articular cartilage [C40-C41],0
2017,Under 1 year,Malignant neoplasms of bone and articular cartilage [C40-C41],0
2018,Under 1 year,Malignant neoplasms of bone and articular cartilage [C40-C41],0
2000,Under 1 year,Melanoma and other malignant neoplasms of skin [C43-C44],0
2001,Under 1 year,Melanoma and other malignant neoplasms of skin [C43-C44],0
2002,Under 1 year,Melanoma and other malignant neoplasms of skin [C43-C44],0
2003,Under 1 year,Melanoma and other malignant neoplasms of skin [C43-C44],0
2004,Under 1 year,Melanoma and other malignant neoplasms of skin [C43-C44],0
2005,Under 1 year,Melanoma and other malignant neoplasms of skin [C43-C44],0
2006,Under 1 year,Melanoma and other malignant neoplasms of skin [C43-C44],0
2007,Under 1 year,Melanoma and other malignant neoplasms of skin [C43-C44],0
2008,Under 1 year,Melanoma and other malignant neoplasms of skin [C43-C44],0
2009,Under 1 year,Melanoma and other malignant neoplasms of skin [C43-C44],1
2010,Under 1 year,Melanoma and other malignant neoplasms of skin [C43-C44],0
2011,Under 1 year,Melanoma and other malignant neoplasms of skin [C43-C44],0
2012,Under 1 year,Melanoma and other malignant neoplasms of skin [C43-C44],0
2013,Under 1 year,Melanoma and other malignant neoplasms of skin [C43-C44],0
2014,Under 1 year,Melanoma and other malignant neoplasms of skin [C43-C44],0
2015,Under 1 year,Melanoma and other malignant neoplasms of skin [C43-C44],0
2016,Under 1 year,Melanoma and other malignant neoplasms of skin [C43-C44],0
2017,Under 1 year,Melanoma and other malignant neoplasms of skin [C43-C44],0
2018,Under 1 year,Melanoma and other malignant neoplasms of skin [C43-C44],0
2000,Under 1 year,Malignant neoplasms of mesothelial and soft tissue [C45-C49],1
2001,Under 1 year,Malignant neoplasms of mesothelial and soft tissue [C45-C49],1
2002,Under 1 year,Malignant neoplasms of mesothelial and soft tissue [C45-C49],0
2003,Under 1 year,Malignant neoplasms of mesothelial and soft tissue [C45-C49],0
2004,Under 1 year,Malignant neoplasms of mesothelial and soft tissue [C45-C49],0
2005,Under 1 year,Malignant neoplasms of mesothelial and soft tissue [C45-C49],0
2006,Under 1 year,Malignant neoplasms of mesothelial and soft tissue [C45-C49],0
2007,Under 1 year,Malignant neoplasms of mesothelial and soft tissue [C45-C49],0
2008,Under 1 year,Malignant neoplasms of mesothelial and soft tissue [C45-C49],1
2009,Under 1 year,Malignant neoplasms of mesothelial and soft tissue [C45-C49],0
2010,Under 1 year,Malignant neoplasms of mesothelial and soft tissue [C45-C49],1
2011,Under 1 year,Malignant neoplasms of mesothelial and soft tissue [C45-C49],1
2012,Under 1 year,Malignant neoplasms of mesothelial and soft tissue [C45-C49],1
2013,Under 1 year,Malignant neoplasms of mesothelial and soft tissue [C45-C49],0
2014,Under 1 year,Malignant neoplasms of mesothelial and soft tissue [C45-C49],1
2015,Under 1 year,Malignant neoplasms of mesothelial and soft tissue [C45-C49],0
2016,Under 1 year,Malignant neoplasms of mesothelial and soft tissue [C45-C49],2
2017,Under 1 year,Malignant neoplasms of mesothelial and soft tissue [C45-C49],0
2018,Under 1 year,Malignant neoplasms of mesothelial and soft tissue [C45-C49],1
2000,Under 1 year,Malignant neoplasm of breast [C50],0
2001,Under 1 year,Malignant neoplasm of breast [C50],0
2002,Under 1 year,Malignant neoplasm of breast [C50],0
2003,Under 1 year,Malignant neoplasm of breast [C50],0
2004,Under 1 year,Malignant neoplasm of breast [C50],0
2005,Under 1 year,Malignant neoplasm of breast [C50],0
2006,Under 1 year,Malignant neoplasm of breast [C50],0
2007,Under 1 year,Malignant neoplasm of breast [C50],0
2008,Under 1 year,Malignant neoplasm of breast [C50],0
2009,Under 1 year,Malignant neoplasm of breast [C50],0
2010,Under 1 year,Malignant neoplasm of breast [C50],0
2011,Under 1 year,Malignant neoplasm of breast [C50],0
2012,Under 1 year,Malignant neoplasm of breast [C50],0
2013,Under 1 year,Malignant neoplasm of breast [C50],0
2014,Under 1 year,Malignant neoplasm of breast [C50],0
2015,Under 1 year,Malignant neoplasm of breast [C50],0
2016,Under 1 year,Malignant neoplasm of breast [C50],0
2017,Under 1 year,Malignant neoplasm of breast [C50],0
2018,Under 1 year,Malignant neoplasm of breast [C50],0
2000,Under 1 year,Malignant neoplasms of female genital organs [C51-C58],0
2001,Under 1 year,Malignant neoplasms of female genital organs [C51-C58],0
2002,Under 1 year,Malignant neoplasms of female genital organs [C51-C58],0
2003,Under 1 year,Malignant neoplasms of female genital organs [C51-C58],0
2004,Under 1 year,Malignant neoplasms of female genital organs [C51-C58],0
2005,Under 1 year,Malignant neoplasms of female genital organs [C51-C58],0
2006,Under 1 year,Malignant neoplasms of female genital organs [C51-C58],0
2007,Under 1 year,Malignant neoplasms of female genital organs [C51-C58],0
2008,Under 1 year,Malignant neoplasms of female genital organs [C51-C58],0
2009,Under 1 year,Malignant neoplasms of female genital organs [C51-C58],0
2010,Under 1 year,Malignant neoplasms of female genital organs [C51-C58],0
2011,Under 1 year,Malignant neoplasms of female genital organs [C51-C58],0
2012,Under 1 year,Malignant neoplasms of female genital organs [C51-C58],0
2013,Under 1 year,Malignant neoplasms of female genital organs [C51-C58],0
2014,Under 1 year,Malignant neoplasms of female genital organs [C51-C58],0
2015,Under 1 year,Malignant neoplasms of female genital organs [C51-C58],0
2016,Under 1 year,Malignant neoplasms of female genital organs [C51-C58],0
2017,Under 1 year,Malignant neoplasms of female genital organs [C51-C58],0
2018,Under 1 year,Malignant neoplasms of female genital organs [C51-C58],0
2000,Under 1 year,Malignant neoplasms of male genital organs [C60-C63],0
2001,Under 1 year,Malignant neoplasms of male genital organs [C60-C63],0
2002,Under 1 year,Malignant neoplasms of male genital organs [C60-C63],0
2003,Under 1 year,Malignant neoplasms of male genital organs [C60-C63],0
2004,Under 1 year,Malignant neoplasms of male genital organs [C60-C63],0
2005,Under 1 year,Malignant neoplasms of male genital organs [C60-C63],0
2006,Under 1 year,Malignant neoplasms of male genital organs [C60-C63],0
2007,Under 1 year,Malignant neoplasms of male genital organs [C60-C63],0
2008,Under 1 year,Malignant neoplasms of male genital organs [C60-C63],0
2009,Under 1 year,Malignant neoplasms of male genital organs [C60-C63],0
2010,Under 1 year,Malignant neoplasms of male genital organs [C60-C63],0
2011,Under 1 year,Malignant neoplasms of male genital organs [C60-C63],0
2012,Under 1 year,Malignant neoplasms of male genital organs [C60-C63],0
2013,Under 1 year,Malignant neoplasms of male genital organs [C60-C63],0
2014,Under 1 year,Malignant neoplasms of male genital organs [C60-C63],0
2015,Under 1 year,Malignant neoplasms of male genital organs [C60-C63],0
2016,Under 1 year,Malignant neoplasms of male genital organs [C60-C63],0
2017,Under 1 year,Malignant neoplasms of male genital organs [C60-C63],0
2018,Under 1 year,Malignant neoplasms of male genital organs [C60-C63],0
2000,Under 1 year,Malignant neoplasms of urinary tract [C64-C68],0
2001,Under 1 year,Malignant neoplasms of urinary tract [C64-C68],0
2002,Under 1 year,Malignant neoplasms of urinary tract [C64-C68],0
2003,Under 1 year,Malignant neoplasms of urinary tract [C64-C68],1
2004,Under 1 year,Malignant neoplasms of urinary tract [C64-C68],0
2005,Under 1 year,Malignant neoplasms of urinary tract [C64-C68],0
2006,Under 1 year,Malignant neoplasms of urinary tract [C64-C68],1
2007,Under 1 year,Malignant neoplasms of urinary tract [C64-C68],1
2008,Under 1 year,Malignant neoplasms of urinary tract [C64-C68],0
2009,Under 1 year,Malignant neoplasms of urinary tract [C64-C68],1
2010,Under 1 year,Malignant neoplasms of urinary tract [C64-C68],0
